问题 ID,说明,状态,严重性,故事点,项目路径,位置种类,路径,折线图,列,事件 ID,帮助链接,程序集名称,程序集版本,程序集公钥,片段
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\obj\Debug\net6.0-windows\PacketViewerControl.g.i.cs,58,12,"M:System.Windows.Application.LoadComponent(System.Object,System.Uri)",,,,,"System.Windows.Application.LoadComponent(this, resourceLocater);"
Api.0003,所选 .NET 版本中的行为变化,Active,Potential,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\obj\Debug\net6.0-windows\PacketViewerControl.g.i.cs,55,12,T:System.Uri,,,,,"System.Uri resourceLocater = new System.Uri(""/KN.SafeCommunicationPlatform.Wpf;V1.0.0.0;component/packetviewercontrol.xaml"", System.UriKind.Relative);"
Api.0003,所选 .NET 版本中的行为变化,Active,Potential,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\obj\Debug\net6.0-windows\PacketViewerControl.g.i.cs,55,12,"M:System.Uri.#ctor(System.String,System.UriKind)",,,,,"System.Uri resourceLocater = new System.Uri(""/KN.SafeCommunicationPlatform.Wpf;V1.0.0.0;component/packetviewercontrol.xaml"", System.UriKind.Relative);"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\PacketViewerControl.xaml.cs,37,50,T:System.Windows.DependencyProperty,,,,,"PacketProperty =              DependencyProperty.Register(nameof(Packet), typeof(Packet), typeof(PacketViewerControl), new PropertyMetadata())"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\PacketViewerControl.xaml.cs,33,18,T:System.Windows.DependencyProperty,,,,,"SetValue(PacketProperty, value);"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\PacketViewerControl.xaml.cs,33,18,"M:System.Windows.DependencyObject.SetValue(System.Windows.DependencyProperty,System.Object)",,,,,"SetValue(PacketProperty, value);"
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\PacketViewerControl.xaml.cs,32,18,T:System.Windows.DependencyProperty,,,,,return (Packet)GetValue(PacketProperty);
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\PacketViewerControl.xaml.cs,32,18,M:System.Windows.DependencyObject.GetValue(System.Windows.DependencyProperty),,,,,return (Packet)GetValue(PacketProperty);
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\PacketViewerControl.xaml.cs,23,8,M:System.Windows.Controls.UserControl.#ctor,,,,,public PacketViewerControl()          {              InitializeComponent();          }
Api.0001,对所选 .NET 版本二进制不兼容,Active,Mandatory,1,src\KN.SafeCommunicationPlatform.Wpf\KN.SafeCommunicationPlatform.Wpf.csproj,File,src\KN.SafeCommunicationPlatform.Wpf\PacketViewerControl.xaml.cs,23,8,M:System.Windows.Controls.UserControl.#ctor,,,,,public PacketViewerControl()          {              InitializeComponent();          }
